school_name,STUDENT ENROLLMENT,ENROLLMENT CAPACITY,BOND INVESTMENTS SINCE 2003,CLASSROOMS,LOT SQ FT,YEAR BUILT,BUILDING SQ FT,PRIMARY PROGRAM
Alamo Elementary,435,413,2862675,27,60000,1926,50420,ES
Alvarado Elementary,472,518,2851168,33,79247,1924,51700,ES
Aptos Middle,855,904,20231647,49,121974,1931,168000,MS
Argonne Elementary,389,398,300000,20,68520,1997,52000,ES
Asawa (Ruth) SF Sch of the Arts A Public School,1097,1065,40052770,71,1086169,1974,243882,HS
Balboa High,1262,1296,23128311,70,446040,1928,261700,HS
Brown Jr. (Willie L) Middle,196,263,57956872,23,225118,2015,88830,MS
Bryant Elementary,270,316,4345167,17,40000,1970,35764,ES
Buena Vista/ Horace Mann K-8,591,618,46885828,37,111527,1950,111558,ES
Burton (Phillip and Sala) Academic High,1144,1228,16676468,70,774000,1961,230000,HS
Carmichael (Bessie)/FEC,592,676,700000,33,98575,2004,56358,ES
Carver (George Washington) Elementary,107,139,5739152,21,108155,1974,46418,ES
Chavez (Cesar) Elementary,443,463,6966780,29,69515,1940,53940,ES
Chin (John Yehall) Elementary,265,275,14677730,12,27557,1914,27415,ES
Chinese Immersion School at DeAvila,370,396,10737654,26,53905,1896,58582,ES
Clarendon Alternative Elementary,511,542,24936649,27,135036,1961,57410,ES
Cleveland Elementary,318,396,7732115,18,60000,1910,28927,ES
Cobb (William L.) Elementary,156,192,9682639,17,56718,1925,36346,ES
Denman (James) Middle,794,837,19369555,52,195000,1939,152412,MS
Downtown High,134,225,7358112,18,64500,1956,58760,HS
Drew (Charles) College Preparatory Academy,186,270,33115545,28,120000,1972,55234,ES
El Dorado Elementary,126,184,15596556,17,203492,1980,41378,ES
Everett Middle,598,637,12809961,38,178298,1928,155370,MS
Feinstein (Dianne) Elementary,406,421,300000,27,91257,2006,62087,ES
Flynn (Leonard R.) Elementary,426,442,2765380,30,64153,1955,57105,ES
Francisco Middle,548,566,16164724,38,113020,1924,122834,MS
Galileo High,1877,1942,19686471,88,211200,1925,242400,HS
Garfield Elementary,196,242,19482000,17,34422,1970,33800,ES
Giannini (A.P.) Middle,1178,1199,48244407,50,383154,1954,136392,MS
Glen Park Elementary,313,341,8724341,20,103792,1936,45200,ES
Grattan Elementary,403,452,3439934,24,63390,1971,55420,ES
Guadalupe Elementary,333,384,7736656,25,88081,1922,40777,ES
Harte (Bret) Elementary,268,323,5379786,29,204740,1953,72359,ES
Hillcrest Elementary,372,361,38101517,27,106154,1956,55213,ES
Hoover (Herbert) Middle,934,965,23419746,44,358229,1956,132400,MS
Huerta (Dolores) Elementary,345,384,3760843,23,125819,1977,60960,ES
Independence High,137,275,11658653,14,48000,1980,30114,HS
Jefferson Elementary,486,509,3138592,22,82500,1960,45344,ES
Jordan (June) School for Equity,208,263,12422442,50,572814,1956,151600,HS
Key (Francis Scott) Elementary,543,582,11051316,29,90000,1935,54321,ES
King (Thomas Starr) Elementary,318,415,13310350,23,65900,1949,49900,ES
King Jr. (Martin Luther) Academic Middle,400,457,9637557,29,207200,1980,72210,MS
Lafayette Elementary,494,531,26530616,26,74400,1927,54283,ES
Lakeshore Alternative Elementary,427,426,14594489,30,243936,1955,56101,ES
Lau (Gordon J.) Elementary,700,734,27015495,31,68870,1914,66113,ES
Lawton Alternative,597,605,6766778,29,90000,1936,64940,ES
Lick (James) Middle,424,536,19474696,34,127680,1934,116000,MS
Lilienthal (Claire) Elementary,645,657,27650231,37,119230,1920,24919,ES
Lincoln (Abraham) High,1920,2046,45013869,90,704016,1940,330200,HS
Longfellow Elementary,470,509,13609891,26,88909,1958,40500,ES
Lowell High,2652,2661,22578221,99,1189188,1970,245000,HS
Malcolm X Academy,107,170,4326236,18,155422,1955,50800,ES
Marina Middle,684,739,44021773,47,281180,1930,152900,MS
Marshall (Thurgood) High,526,638,59905938,48,269592,1960,150404,HS
Marshall Elementary,233,264,3185229,15,33900,1950,34300,ES
McCoppin (Frank) Elementary,198,243,11614738,17,42000,1970,32799,ES
McKinley Elementary,277,299,4902443,20,73600,1976,45160,ES
Milk (Harvey) Civil Rights Elementary,187,198,20716327,11,31405,1956,30560,ES
Miraloma Elementary,333,408,10620664,19,101600,1952,56100,ES
Mission Education Center,57,140,6096222,15,41040,1980,23190,ES
Mission High,1080,1163,27125785,77,234640,1926,238677,HS
Monroe Elementary,507,556,8174569,22,70000,1916,53400,ES
Moscone (George R.) Elementary,391,444,1311388,23,67375,1997,74822,ES
Muir (John) Elementary,246,295,3560612,30,45912,1932,65750,ES
New Traditions Elementary,233,264,5449693,13,55000,1923,26300,ES
O'Connell (John) High,530,583,2091197,63,155195,2000,130091,HS
Ortega (Jose) Elementary,390,421,11052004,20,220000,1950,42965,ES
Parker (Jean) Elementary,168,231,300000,16,26888,1996,46000,ES
Parks (Rosa) Elementary,380,460,4158677,30,133884,1924,66900,ES
Peabody (George) Elementary,272,275,7761238,13,36000,1970,21805,ES
Presidio Middle,987,1015,19362502,47,144000,1930,140000,MS
Redding Elementary,244,286,17615860,17,37320,1980,31374,ES
Revere (Paul) Elementary,171,196,7291829,13,49000,1970,38220,ES
Rooftop Elementary,549,610,1871018,24,193992,1953,21000,ES
Roosevelt Middle,670,682,11051694,32,94469,1928,121000,MS
S.F. International High,293,499,0,35,239000,1970,126658,HS
San Francisco Community Alternative,280,297,2841356,16,60000,1911,66900,ES
San Francisco Public Montessori,153,192,8262770,22,38361,1923,64500,ES
Sanchez Elementary,282,318,8259888,30,77900,1926,50500,ES
Serra (Junipero) Elementary,267,292,13021908,17,34730,1974,34200,ES
Sheridan Elementary,213,257,18980000,18,70000,1994,54596,ES
Sherman Elementary,285,322,1171140,26,75625,1928,56200,ES
Sloat (Commodore) Elementary,371,395,2572968,17,195266,1922,59200,ES
Spring Valley Elementary,241,289,8676745,22,41250,1910,50400,ES
Stevenson (Robert Louis) Elementary,449,445,18995685,23,144000,1956,59740,ES
Sunnyside Elementary,337,381,10164366,18,64687,2000,41996,ES
Sunset Elementary,401,406,5414329,16,204592,1956,37115,ES
Sutro Elementary,226,267,5807369,16,42000,1976,32860,ES
Taylor (Edward R.) Elementary,641,689,1196838,33,96000,1929,56113,ES
Tenderloin Community,300,359,300000,24,32000,1998,81207,ES
Ulloa Elementary,530,528,10834315,25,173200,1956,63730,ES
Visitacion Valley Elementary,297,343,11880310,22,84552,1937,51400,ES
Visitacion Valley Middle,347,454,22492345,39,383985,1970,112630,MS
Wallenberg (Raoul) Traditional High,636,686,15139396,26,144184,1951,62840,HS
Washington (George) High,2068,2101,97404162,100,679002,1936,247800,HS
Webster (Daniel) Elementary,341,382,12074323,20,55000,1924,42800,ES
Wells (Ida B.) High,133,220,17129836,17,60671,1911,34300,HS
West Portal Elementary,533,616,5450883,28,122324,1926,44700,ES
Yick Wo Elementary,215,252,4926277,14,30612,1983,26000,ES
Yu (Alice Fong) Elementary,586,594,4378810,24,78007,1995,42978,ES
